County,Survey Responses 2010,Estimated Totals 2010,Survey Responses 2011,Estimated Totals 2011,Survey Responses 2012,Estimated Totals 2012,Survey Responses 2013,Estimated Totals 2013,Survey Responses 2014,Estimated Totals 2014,Survey Responses 2015,Estimated Totals 2015,Survey Responses 2016,Estimated Totals 2016,Survey Responses 2017,Estimated Totals 2017,Survey Responses 2018,Estimated Totals 2018,Survey Responses 2019,Estimated Totals 2019,Survey Responses 2020,Estimated Totals 2020,Survey Responses 2021,Estimated Totals 2021,Reported 2022,Estimated 2022,Reported 2023,Estimated 2023
Alameda,456,551,476,548,480,568,473,603,341,491,432,542,518,582,521,583,495,569,505,591,400,442,393,492,404,473,393,468
Amador,12,15,12,14,12,14,10,12,11,15,10,13,12,14,13,15,14,17,16,18,12,13,11,14,11,13,10,12
Butte,66,81,70,81,66,78,64,81,59,85,62,78,74,83,78,87,75,86,62,78,58,68,58,74,58,63,63,71
Calaveras,11,14,12,14,10,12,10,13,10,14,11,14,13,15,14,15,13,15,14,15,14,15,11,13,11,15,11,14
Colusa,13,17,9,11,8,10,10,13,7,10,7,9,10,11,11,12,11,13,11,13,12,15,11,16,10,13,9,11
Contra Costa,332,403,344,395,354,419,331,422,272,392,303,380,384,431,385,430,346,397,374,427,304,336,304,374,337,396,341,390
Del Norte,6,8,6,7,6,7,4,5,5,7,5,6,6,7,6,7,6,7,4,6,5,5,4,5,4,4,4,4
El Dorado,55,68,57,67,64,75,56,72,36,52,65,81,72,81,73,82,66,76,64,74,58,62,52,65,57,66,53,67
Fresno,285,342,290,335,288,341,269,344,209,300,264,331,318,358,328,367,320,368,306,376,296,347,294,387,298,371,311,372
Glenn,12,14,12,14,11,12,11,14,11,16,13,16,15,17,17,18,15,17,14,18,13,15,14,17,13,14,14,15
Humboldt,44,54,46,54,45,53,51,64,31,44,47,59,54,61,49,55,51,58,42,53,51,56,47,52,41,45,37,42
Imperial,56,69,51,60,46,54,46,58,58,83,63,79,77,86,74,83,78,89,73,86,59,64,56,74,48,66,69,74
Inyo,16,19,16,18,13,16,12,16,12,17,14,18,16,18,16,18,16,18,14,17,14,16,14,15,14,15,13,15
Kern,293,362,309,359,301,356,287,367,267,384,299,375,362,407,349,390,345,396,340,392,318,364,331,406,340,395,353,401
Kings,42,51,41,48,40,47,38,49,31,45,41,51,50,57,54,60,52,60,67,76,49,52,42,58,50,58,51,55
Lake,20,25,18,22,17,20,19,24,17,25,19,23,19,21,19,21,20,23,18,24,17,20,17,20,13,18,14,19
Lassen,6,7,6,7,5,6,5,6,6,8,7,9,7,8,5,6,4,5,5,7,6,6,7,7,6,6,6,6
Los Angeles,"3,005","3,658","3,069","3,554","2,916","3,451","2,700","3,445","2,606","3,749","2,762","3,465","3,184","3,577","3,272","3,659","3,169","3,638","3,189","3,559","2,513","2,770","2,700","3,061","2,619","3,070","2,694","3,039"
Madera,47,57,54,61,44,53,43,54,31,45,35,44,52,59,56,62,49,57,44,62,45,63,53,71,54,67,55,69
Marin,78,94,91,103,91,107,83,106,52,75,83,105,91,102,90,101,71,82,86,96,72,77,66,88,70,86,69,91
Mariposa,6,7,6,7,5,6,4,5,6,9,5,6,7,8,5,6,6,7,7,8,4,5,6,7,5,6,5,7
