Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,City of Sacramento - Capitol Parking Garage,1015 L St,"At 10th and L, 2nd Level",Sacramento,CA,95814,,888-758-4389  916-264-5011,E,,Public,Garage business hours; pay lot,,,,,2,,,3 SP Inductive,Non-Networked,,GPS,38.5783802,-121.4926,2019-05-09,1498,2019-05-14 21:16:45 UTC,LG,,,,,,,,NEMA520,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Truesdale Center,11791 Truesdale St,,Sun Valley,CA,91352,,,E,,Private - Government only,,,,,,,12,,,Non-Networked,,200-8,34.249396,-118.387136,2018-10-04,1517,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Southern California Edison - Rosemead Office Building 1,2244 Walnut Grove Ave,,Rosemead,CA,91770,,,E,,Private,Employee use only,,,,,22,22,,,Greenlots,https://www.shell.us/motorist/electric-vehicle-charging.html,200-9,34.050745,-118.081014,2019-01-10,1520,2019-12-23 20:50:14 UTC,T,,,,,,,,J1772 NEMA520,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,24 hours daily; pay lot,,,,,,12,,,Non-Networked,,200-9,34.04057,-118.268762,2019-05-09,1523,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,90012,,800-473-3652,E,,Public,24 hours daily,,,,,,260,1,,Non-Networked,,GPS,34.058476,-118.24819,2018-10-04,1525,2019-11-11 17:00:20 UTC,LG,,,,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,UTILITY,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,Cherokee & Hollywood Parking Garage,1718 N Cherokee Ave,,Los Angeles,CA,90028,,213-550-9904,E,,Public,24 hours daily; pay lot,,,,,,4,,,Non-Networked,,200-8,34.102404,-118.334758,2019-05-09,1526,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Haynes Power Plant,6801 Westminster Ave,,Long Beach,CA,90803,,,E,,Private,Employee use only,,,,,,12,,1 SP Inductive,Non-Networked,,GPS,33.759802,-118.096665,2018-10-04,1531,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,State Capitol Parking Garage,1303 10th St,At 12th and N St,Sacramento,CA,95814,,,E,,Private - Government only,Permitted state legislators only,Comdata,,,,,9,,1 LP Inductive  1 SP Inductive  1 Avcon Conductive  1 Other Conductive,Non-Networked,,200-8,38.576769,-121.495022,2019-05-09,1533,2019-05-14 21:16:45 UTC,SG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,PARKING_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,CITYOFSANTAROSA,100 Santa Rosa Ave,"CITY HALL 1; Located at South end of breezeway, against building",Santa Rosa,CA,95404,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,200-9,38.4378748,-122.7108967,2019-12-30,1546,2019-12-30 10:12:32 UTC,,,,,,,,,J1772,US,,,,Public,,public,,,,,,,,,,"Pricing is based on length of time and kWh used. $0 per hour for the first 4 hours, and $10 per additional hour, $1 per kWh",,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Wilmington,161 N Island Ave,At B St,Wilmington,CA,90744,,,E,,Private - Government only,,,,,,,12,,,Non-Networked,,200-8,33.770508,-118.265628,2018-10-04,1552,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Sylmar Center,13101 Sepulveda Blvd,,Sylmar,CA,91344,,,E,,Private - Government only,,,,,,,2,,,Non-Networked,,200-8,34.30309,-118.480505,2018-10-04,1556,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - EV Service Center,1630 N Main St,,Los Angeles,CA,90012,,,E,,Private - Government only,,,,,,,26,,,Non-Networked,,200-8,34.066801,-118.227605,2018-10-04,1572,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,,Los Angeles,CA,90016,,,E,,Private - Government only,,,,,,,3,,,Non-Networked,,200-8,34.036777,-118.368841,2018-10-04,1573,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Ducommun Center,433 E Temple St,,Los Angeles,CA,90012,,,E,,Private - Government only,,,,,,,13,,1 SP Inductive,Non-Networked,,200-9,34.051852,-118.236702,2018-10-04,1575,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,California Air Resources Board,9530 Telstar Ave,,El Monte,CA,91731,,626-575-6800,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,GPS,34.06872,-118.064,2019-09-09,1583,2019-09-09 14:29:53 UTC,SG,,,,,,,,J1772,US,,,,Public,,public,,,STATE_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,LADWP - Palmetto Center,1212 Palmetto St,,Los Angeles,CA,90013,,,E,,Private - Government only,,,,,,,10,,2 SP Inductive,Non-Networked,,200-8,34.040191,-118.235077,2018-10-04,1589,2019-05-21 16:48:24 UTC,LG,,,,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,858-554-9100,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,32.89947,-117.243,2019-12-12,6355,2019-12-12 21:27:03 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Pay to Park,,,,,,,,,,,,,,,,,,,,
ELEC,Santa Monica Place Mall Garage #7 - Civic Center - First Floor,395 Broadway,1st floor of parking garage,Santa Monica,CA,90401,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,,,1 SP Inductive,Non-Networked,,200-9,34.013658,-118.493749,2019-04-08,6377,2019-05-14 21:16:45 UTC,LG,,,,,,,,,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
ELEC,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,,Escondido,CA,92027,,760-747-8702,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,200-9,33.098589,-117.004433,2019-02-06,6384,2019-05-14 21:16:45 UTC,P,,,,,,,,J1772,US,,,,Public,,public,,,PAY_LOT,,,,,,,Free,,,,,,,,,,,,,,,,,,,,
