Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,2024
California,39555674,39521958,39142565,39142414,39198693,39431263
".Alameda County, California",1682296,1680614,1643856,1635693,1638142,1649060
".Alpine County, California",1176,1179,1203,1169,1126,1099
".Amador County, California",40497,40584,41245,41486,41798,42026
".Butte County, California",211632,210222,206351,207384,207354,208334
".Calaveras County, California",45284,45350,46262,46544,46580,46505
".Colusa County, California",21837,21868,21931,21952,22093,22074
".Contra Costa County, California",1165983,1166165,1163813,1160296,1162179,1172607
".Del Norte County, California",27742,27616,27581,26758,26571,27009
".El Dorado County, California",191185,191250,193724,193071,192440,192823
".Fresno County, California",1008649,1009613,1012879,1017107,1019899,1024125
".Glenn County, California",28919,28889,28714,28371,28190,28304
".Humboldt County, California",136467,136324,134978,135013,134009,132380
".Imperial County, California",179710,179730,179206,179767,180585,181724
".Inyo County, California",19024,18999,18920,18745,18548,18485
".Kern County, California",909233,906124,912782,917293,916646,922529
".Kings County, California",152484,152797,152724,152776,153281,154913
".Lake County, California",68164,68200,68623,68239,67934,67764
".Lassen County, California",32733,32319,31884,30401,28838,28340
".Los Angeles County, California",10017401,9996634,9809239,9748447,9731837,9757179
".Madera County, California",156254,156434,159019,160414,163402,165432
".Marin County, California",262325,261341,259254,257143,255706,256400
".Mariposa County, California",17128,17133,17136,17095,16996,17048
".Mendocino County, California",91587,91362,91303,90027,89354,89175
".Merced County, California",282447,282963,284834,292034,294402,296774
".Modoc County, California",8699,8677,8640,8625,8566,8491
".Mono County, California",13196,13225,13263,13055,13207,12991
".Monterey County, California",441012,440506,439245,436427,435637,436251
".Napa County, California",138014,137465,136219,134492,133444,132727
".Nevada County, California",102236,102267,103499,102356,102086,102195
".Orange County, California",3187256,3186261,3159351,3158489,3154563,3170435
".Placer County, California",404752,405951,412968,418439,424599,433822
".Plumas County, California",19800,19761,19965,19433,19120,18834
".Riverside County, California",2419967,2424663,2455225,2479628,2503549,2529933
".Sacramento County, California",1585030,1586727,1588824,1588743,1594506,1611231
".San Benito County, California",64209,64533,66703,67715,68341,69159
".San Bernardino County, California",2181664,2183526,2190877,2196029,2200805,2214281
".San Diego County, California",3298647,3301182,3274244,3283755,3285890,3298799
".San Francisco County, California",878392,874826,815498,814176,819151,827526
".San Joaquin County, California",779232,780676,788096,795880,805909,816108
".San Luis Obispo County, California",282448,281924,279468,282535,282007,281843
".San Mateo County, California",764659,762727,739330,732485,734267,742893
".Santa Barbara County, California",448217,448083,437117,445286,443521,444500
".Santa Clara County, California",1936278,1924802,1878320,1883653,1897137,1926325
".Santa Cruz County, California",272140,271768,260904,265851,263699,262406
".Shasta County, California",182452,182190,182243,180972,180656,181121
".Sierra County, California",3235,3229,3298,3215,3180,3113
".Siskiyou County, California",44079,43999,44144,43746,42941,42498
".Solano County, California",453551,452887,450819,449724,451060,455101
".Sonoma County, California",488862,488501,484561,483398,483366,485375
".Stanislaus County, California",553285,553710,552939,552410,553921,556972
".Sutter County, California",99635,99479,99121,98682,98457,98545
".Tehama County, California",65905,65690,65467,65269,64959,64451
".Trinity County, California",16116,16095,16102,15777,15684,15642
".Tulare County, California",473121,473944,476939,478288,480747,483546
".Tuolumne County, California",55623,55397,55126,53951,54123,53893
".Ventura County, California",844363,843808,840009,835032,833071,835427
".Yolo County, California",217867,217768,213545,223338,222919,225251
".Yuba County, California",81575,82001,83035,84335,85695,87469
